,text,label
0,Feux tricolores,Ministre du Développement durable et des Infrastructures
1,Décrochage scolaire,Ministre de l'Education nationale
2,Réfection et rénovation du barrage du lac de la Haute-Sûre,Ministre du Développement durable et des Infrastructures
3,Présence luxembourgeoise au sein des organisations internationales et les principes de recrutement pour ces postes,Premier Ministre
4,Droits des actionnaires,Ministre de la Justice
5,Taux de TVA appliqué sur les couches pour enfants en bas âge et personnes souffrant d'incontinence,Ministre des Finances
6,Arrêt de la Cour européenne des droits de l'homme sur le droit d'adoption d'une personne célibataire homosexuelle,Ministre de la Justice
7,Programmes de télévision pour résidents non-luxembourgeois,Premier Ministre
8,Maniement des comptes dormants,Ministre des Finances
9,Défibrillateurs dans les maisons médicales,Ministre de la Santé
10,"Parc à vélo sécurisé ""mBox""",Ministre du Développement durable et des Infrastructures
11,Résidus de pesticides et de médicaments dans l'eau en bouteille,Ministre de la Santé
12,Organisation de l'enseignement musical,Ministre de l'Intérieur
13,Statut unique,Premier Ministre
14,Pool de remplacement des enseignants,Ministre de l'Education nationale
15,Assurance maladie pour ex-détenus,Ministre de la Sécurité sociale
16,Volet social à traiter lors du sommet de Barcelone,Premier Ministre
17,Fonctionnement de l'enseignement secondaire technique,Ministre de l'Education nationale
18,Vaccination du personnel des entreprises de pompes funèbres,Ministre de la Santé
19,Task forces,Premier Ministre
20,Nouvelle affectation de plusieurs bâtiments publics,Ministre du Développement durable et des Infrastructures
21,COP24 à Katowice,Premier Ministre
22,Subsides accordés,Ministre du Développement durable et des Infrastructures
23,Incendie au Centre pénitentiaire de Schrassig,Ministre de la Justice
24,Contributions nationales au budget de l'Union européenne,Ministre des Finances
25,Fraude du constructeur d'automobiles Volkswagen,Ministre du Développement durable et des Infrastructures
26,Héliport pour le centre hospitalier du Nord à Wiltz,Ministre de la Santé
27,Blocage des portes d'entrée au Centre Hospitalier du Kirchberg,Ministre de la Santé
28,Introduction d'une assurance contre les catastrophes naturelles,Ministre des Finances
29,Pollutions environnementales,Ministre de la Justice
30,Personnes intersexes,Ministre de la Santé
31,"Rapport ""Doing business"" de la Banque mondiale",Ministre des Finances
32,"Missions des agents de l'Administration des Douanes et Accises dans le cadre du plan gouvernemental ""Vigilnat""",Premier Ministre
33,Tests de résistance des réacteurs nucléaires,Ministre de la Santé
34,Augmentation du budget militaire,Premier Ministre
35,Homologation obligatoire des diplômes de fin d'études secondaires luxembourgeois exigée pour les étudiants du Luxembourg en Belgique francophone,Ministre de l'Education nationale
36,Taxe mondiale sur les transactions du marché financier,Ministre des Finances
37,Différences récentes entre l'Association des Médecins et Médecins-Dentistes (AMMD) et la Caisse Nationale de Santé (CNS),Ministre de la Sécurité sociale
38,Situation de parking et de stationnement devant la gare d'Ettelbruck,Ministre du Développement durable et des Infrastructures
39,Drainage lymphatique,Ministre de la Sécurité sociale
40,Plan d'urgence en cas d'accident nucléaire,Ministre de l'Intérieur
41,Projets de fusion entre le Centre Hospitalier Neuro-Psychiatrique et le Centre Hospitalier du Nord,Ministre de la Santé
42,Suppression des cours de langue française dans les classes de 12e et 13e du régime de la formation de technicien,Ministre de l'Education nationale
43,Réglementation sur l'aménagement et la sécurité des aires de jeux pour enfants,Ministre de l'Intérieur
44,Corruption dans le secteur de la santé,Ministre de la Santé
45,Publication de deux brochures comprenant des recommandations de lecture pour les enfants de 4 à 10 ans.,Ministre de l'Education nationale
46,Demandeurs d'asile,Ministre des Finances
47,Accès universel aux tests Covid-19 à grande échelle,Ministre de la Sécurité sociale
48,Séance plénière du 4 juin 1999 du  conseil communal de Schifflange,Ministre de l'Intérieur
49,Tentative d'évasion du Centre pénitentiaire de Schrassig,Ministre de la Justice
50,Bilan des radars fixes,Ministre du Développement durable et des Infrastructures
51,Activités apparemment non autorisées d'une entreprise de sécurité et de gardiennage sur le territoire luxembourgeois,Ministre de la Justice
52,Implantation de Google à Bissen,Premier Ministre
53,Lits en néonatologie,Ministre de la Santé
54,Le changement des compétences au niveau des ministères de la Famille et de l'Education nationale des structures d'accueil et plus particulièrement en relation avec les devoirs à domicile,Ministre de l'Education nationale
55,Dons d'organes,Ministre de la Sécurité sociale
56,Projet d'agrandissement du Lycée Technique de Bonnevoie,Ministre de l'Education nationale
57,Prolongation de la durée de validité du permis de conduire,Ministre de la Santé
58,Mobilité à bicyclette dans la vallée de l'Alzette,Ministre du Développement durable et des Infrastructures
59,Utilisation de la piscine du Lycée de Junglinster,Ministre des Finances
60,Listes des membres des associations sans but lucratif et fondations,Ministre de la Justice
61,Fonctionnement du Service de Ré-Education Ambulatoire (SREA),Ministre de l'Education nationale
62,Évolution des carrières dans l'enseignement,Ministre de l'Education nationale
63,Stratégies logistiques dans le secteur de la santé,Ministre de la Santé
64,Personnel soignant,Ministre de la Santé
65,Non-constitutionnalité de la loi sur l'aménagement communal et le développement urbain,Ministre de l'Intérieur
66,Poux à l'école,Ministre de la Santé
67,Château de Sanem,Ministre des Finances
68,Avis du Conseil national de la Résistance quant aux volontaires luxembourgeois des brigades internationales,Premier Ministre
69,"""Bachelor professionnel""",Ministre de l'Education nationale
70,Eventuelle amende à payer par la Banque et Caisse d'Epargne de l'Etat (BCEE),Ministre des Finances
71,Qualité de l'eau de l'Our,Ministre du Développement durable et des Infrastructures
72,Langue des signes allemande,Ministre de l'Education nationale
73,Contrôle policier des cyclistes et des piétons,Ministre de la Justice
74,Suivi sanitaire et médical des demandeurs de protection internationale,Ministre de la Santé
75,Vaccin contre la Covid-19,Ministre de la Santé
76,Familles d'accueil,Ministre de l'Education nationale
77,Substitution de médicaments,Ministre de la Sécurité sociale
78,Test de dépistage rapide,Ministre de la Santé
79,Fiabilité des tests de dépistage de la Covid-19,Ministre de la Santé
80,"Résultats de l'enquête ""Luxmobil 2017""",Ministre du Développement durable et des Infrastructures
81,Budget de la Communauté européenne,Premier Ministre
82,Éducation aux médias des enfants,Ministre de l'Education nationale
83,Convention internationale des enfants,Ministre de la Justice
84,Epreuves de fins d'études  pour l'enseignement postprimaire privé,Ministre de l'Education nationale
85,Non application de l'interdiction de fumer dans le Centre socio-éducatif de Dreiborn,Ministre de la Santé
86,Dossier de l'intégration des clubs de football,Ministre de l'Education nationale
87,Utilisation des nouvelles technologies dans le secteur de la santé,Ministre de la Santé
88,Relation entre l'émission de rejets nocifs et le taux de mortalité,Ministre de la Santé
89,Règles relatives aux services d'informations concernant les aires de stationnement sûres et sécurisés,Ministre du Développement durable et des Infrastructures
90,Lutte contre le tabagisme,Ministre de la Santé
91,Transposition de la directive établissant un espace ferroviaire unique européen,Ministre du Développement durable et des Infrastructures
92,Base de données des utilisateurs du réseau GSM de la P & T,Ministre de la Justice
93,"Formation ""Case Management"" de l'Institut Universitaire International Luxembourg",Ministre de la Santé
94,Intolérances au niveau des prothèses et implants,Ministre de la Santé
95,TVA sur le biogaz,Ministre des Finances
96,Examens complémentaires suite aux examens médicaux pour le permis de conduire,Ministre du Développement durable et des Infrastructures
97,Tests PCR dans le cadre des voyages à l'étranger,Ministre de la Santé
98,Couverture médicale,Ministre de la Santé
